use_year	permit_number	permit_holder_name	pod_index	use_type	reported_acft	reported_acres	reported_rate	kwhrs	kwh_demand	begin_meter	end_meter	meter_units	comments	crop_type1	crop_type2	reported_inches	use_january	use_february	use_march	use_april	use_may	use_june	use_july	use_august	use_september	use_october	use_november	use_december	total_use
1987	1563	EAST CENTRAL REGIONAL WATER DISTRICT	-1	Rural Water	0.0	0.0	0.0	0	0	0.0	0.0						2467000.0	2106000.0	1788000.0	2553000.0	2602000.0	2706000.0	2547000.0	2482000.0	2282000.0	2240000.0	2189000.0	2210000.0	28172000.0
1988	1563	EAST CENTRAL REGIONAL WATER DISTRICT	-1	Rural Water	0.0	0.0	0.0	0	0	0.0	0.0						0.0	0.0	0.0	0.0	50000.0	0.0	0.0	0.0	0.0	50000.0	0.0	0.0	100000.0
1989	1563	EAST CENTRAL REGIONAL WATER DISTRICT	-1	Rural Water	0.0	0.0	0.0	0	0	0.0	0.0						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53000.0	1531000.0	2564200.0	4148200.0
1990	1563	EAST CENTRAL REGIONAL WATER DISTRICT	-1	Rural Water	0.0	0.0	0.0	0	0	0.0	0.0						2864100.0	3703200.0	5170200.0	3840900.0	3269300.0	2597700.0	1924400.0	1740000.0	410600.0	2313400.0	3355400.0	2882400.0	34071600.0
1991	1563	EAST CENTRAL REGIONAL WATER DISTRICT	-1	Rural Water	0.0	0.0	0.0	0	0	0.0	0.0						4529000.0	4617600.0	4107900.0	2436300.0	2532700.0	3548600.0	4010500.0	40400.0	655900.0	630000.0	626000.0	6191200.0	33926100.0
1992	1563	EAST CENTRAL REGIONAL WATER DISTRICT	-1	Rural Water	0.0	0.0	0.0	0	0	0.0	0.0						6486500.0	8483800.0	2768500.0	240100.0	1323600.0	25000.0	0.0	0.0	0.0	0.0	0.0	1565500.0	20893000.0
1993	1563	EAST CENTRAL REGIONAL WATER DISTRICT	-1	Rural Water	0.0	0.0	0.0	0	0	0.0	0.0						8790500.0	6733300.0	8178600.0	2124500.0	1867100.0	3102000.0	467900.0	689600.0	0.0	0.0	4533000.0	9863700.0	46350200.0
1994	1563	EAST CENTRAL REGIONAL WATER DISTRICT	-1	Rural Water	0.0	0.0	0.0	0	0	0.0	0.0						8851000.0	3630200.0	2069700.0	0.0	0.0	100.0	1065000.0	3814600.0	1179900.0	182100.0	40700.0	4833500.0	25666800.0
1995	1563	EAST CENTRAL REGIONAL WATER DISTRICT	-1	Rural Water	0.0	0.0	0.0	0	0	0.0	0.0						4039100.0	3177400.0	4386600.0	1370500.0	1421400.0	319600.0	82400.0	2230200.0	860800.0	5606400.0	1719400.0	2960100.0	28173900.0
1996	1563	EAST CENTRAL REGIONAL WATER DISTRICT	-1	Rural Water	0.0	0.0	0.0	0	0	0.0	0.0						10008700.0	9382000.0	3732600.0	1041600.0	176300.0	903700.0	3711100.0	2039500.0	3059900.0	5599000.0	340400.0	571000.0	40565800.0
