xy_id,group_block,Grouped,Aquifer_Units,start_x,start_y,start_z,end_z,Top_Screen_Elev,Bottom_Screen_Elev,bh_id,model_unit,model_unit_4_lay
2944917.75_-248769.024,3,Clay,,2944917.75,-248769.0236,911.6302993,906.6302993,,,bh_211,WSS,WSS
2944917.75_-248769.024,4,Aquifer,,2944917.75,-248769.0236,906.6302993,896.6302993,,,bh_211,WSS,WSS
2944917.75_-248769.024,5,Clay,,2944917.75,-248769.0236,896.6302993,796.6302993,,,bh_211,DC,DC
2944917.75_-248769.024,6,Aquifer,,2944917.75,-248769.0236,796.6302993,681.6302993,,,bh_211,WR,WR
2944924.895_-250841.409,1,Clay,,2944924.895,-250841.4089,957.7718274,894.7718274,,,bh_212,WSS,WSS
2944924.895_-250841.409,2,Aquifer,,2944924.895,-250841.4089,894.7718274,869.7718274,,,bh_212,WSS,WSS
2944924.895_-250841.409,3,Clay,,2944924.895,-250841.4089,869.7718274,867.7718274,,,bh_212,WSS,WSS
2944967.564_-213359.853,1,Clay,,2944967.564,-213359.8526,955.0138298,895.0138298,,,bh_213,drop,drop
2944967.564_-213359.853,2,Aquifer,,2944967.564,-213359.8526,895.0138298,886.0138298,,,bh_213,drop,drop
2944967.564_-213359.853,3,Clay,,2944967.564,-213359.8526,886.0138298,854.0138298,,,bh_213,drop,drop
2944967.564_-213359.853,4,Aquifer,,2944967.564,-213359.8526,854.0138298,820.0138298,,,bh_213,drop,drop
2944967.564_-213359.853,5,Clay,Wahpeton,2944967.564,-213359.8526,820.0138298,670.0138298,,,bh_213,drop,drop
2944967.564_-213359.853,6,Aquifer,,2944967.564,-213359.8526,670.0138298,614.0138298,,,bh_213,drop,drop
2944967.564_-213359.853,7,Clay,,2944967.564,-213359.8526,614.0138298,607.0138298,,,bh_213,drop,drop
2944967.564_-213359.853,8,Bedrock,,2944967.564,-213359.8526,607.0138298,607.0138298,,,bh_213,drop,drop
