site_index,date_meas,gwe_navd88,dtw_ft,mp_elev_navd88,loc_id,aquifer,purpose,elev_type,total_depth,top_screen_depth,bottom_screen_depth,x_2265,y_2265,lse_navd88
1637,35305,922.81,21.51,944.32,13404821BBB3,Wahpeton Sand Plain,Observation Well,Survey 0.01 ft,140,130,140,2918290.305,-191236.2751,942.15
1759,38147,949.89,8.18,958.07,13304707CAC,Wahpeton Buried Valley,Observation Well,Survey 0.1 ft,225,209,219,2941514.704,-214662.3223,956.14
14148,35551,914.73,41.01,955.74,13304707CBB6,Wahpeton Shallow Sand,Observation Well,Global Position Survey,54,35,40,2940045.346,-214114.4906,954.12
15380,35305,922.51,21.02,943.53,13404821BBB4,Wahpeton Shallow Sand,Observation Well,Survey 0.01 ft,59,44,54,2918290.305,-191236.2751,941.96
15989,34228,968.44,-14.5,953.94,13404923CCC,Colfax,Observation Well - Plugged,Topographic Map,340,257,262,2897174.223,-196779.9768,950.94
16217,34544,948.73,12.82,961.55,13304720BBBC1,Undefined,Observation Well,Survey 0.01 ft,42,10,25,2945565.909,-222276.3771,959.43
16218,34544,929.38,33.25,962.63,13304720BCBC1,Wahpeton Shallow Sand,Observation Well,Survey 0.01 ft,44,28,43,2945611.72,-223187.6856,960.5
16219,34544,929.73,35.91,965.64,13304720BCCD1,Wahpeton Shallow Sand,Observation Well,Survey 0.01 ft,47,30,45,2946156.929,-223963.5644,963.62
17523,34632,902.66,69.28,971.94,13304720ADD4,Wahpeton Buried Valley,Observation Well,Survey 0.01 ft,280,268,273,2950746.509,-223622.9679,970.33
18382,36307,915.89,52,967.89,13304727CCCBBD,Wahpeton Buried Valley,Municipal Well,Survey 0.01 ft,300,245,300,2956453.125,-230822.2591,965.81
19725,38146,911.97,47.37,959.34,13304707CDA1,Wahpeton Sand Plain,Observation Well,Survey 0.1 ft,98,75,93,2942279.643,-215281.8927,957.64
19726,38147,946.96,10.28,957.24,13304707CDA2,Wahpeton Shallow Sand,Observation Well,Survey 0.1 ft,33,28,33,2942279.643,-215281.8927,957.24
19727,38147,911.12,46.12,957.24,13304707CDA3,Wahpeton Buried Valley,Observation Well,Survey 0.1 ft,223,206,216,2942279.643,-215281.8927,957.34
19730,38146,911.15,47.16,958.31,13304707CDD4,Wahpeton Buried Valley,Observation Well,Survey 0.01 ft,268,229,259,2942310.165,-215900.996,955.86
19883,35353,919.18,23.94,943.12,13404810ABD1,Undefined,Observation Well,Survey 0.01 ft,218,203,208,2925105.913,-180994.6973,941.39
19886,35346,943.89,25.47,969.36,13304727ADD2,Undefined,Observation Well,Survey 0.01 ft,120,110,115,2961543.788,-228371.0615,967.53
19887,35346,953.94,15.05,968.99,13304727ADD3,Undefined,Observation Well,Survey 0.01 ft,64,52,57,2961520.921,-228409.1263,967.31
19890,35353,923.42,49.74,973.16,13304726AAA1,Undefined,Observation Well,Survey 0.01 ft,230,215,220,2966620.387,-225663.8376,971.54
19891,35353,957.5,16.28,973.78,13304726AAA2,Undefined,Observation Well,Survey 0.01 ft,151,140,145,2966646.412,-225662.8668,971.9
19892,35353,963.76,11.81,975.57,13304619DDD1,Undefined,Observation Well,Survey 0.01 ft,368,353,358,2977091.102,-224976.5589,974.11
19893,35354,963.96,11.78,975.74,13304619DDD2,Undefined,Observation Well,Survey 0.01 ft,285,248,253,2977117.126,-224975.5741,974.83
19894,35353,959.86,16.12,975.98,13304619DDD3,Undefined,Observation Well,Survey 0.01 ft,44,34,39,2977142.14,-224974.6415,974.32
19899,35369,942.04,23.15,965.19,13304716DDAC2,Undefined,Observation Well,Survey 0.01 ft,80,69,74,2955104.851,-220224.0752,963.74
19904,35383,939.13,10.97,950.1,13404836ACB3,Undefined,Observation Well,Survey 0.01 ft,118,103,108,2936654.42,-202411.9705,948.4
21797,35702,923.75,15.27,939.02,13504831DCD2,Wahpeton Sand Plain,Observation Well,Global Position Survey,150,133,138,2910430.76,-175411.9159,937.77
21805,35702,927.44,31.35,958.79,13304707ADD2,Dakota Group,Observation Well,Survey 0.01 ft,340,318,323,2945061.672,-213242.0014,957.09
21858,35369,909.07,52.3,961.37,13304728ACABBD,Wahpeton Buried Valley,Observation Well,Survey 0.01 ft,261,250,260,2953585.74,-227716.8511,959.22
23098,35927,907.98,67.1,975.08,13304720ADB4,Wahpeton Buried Valley,Observation Well,Survey 0.01 ft,283,270,275,2949647.26,-222910.617,973.2
24264,36047,926.84,13.41,940.25,13504831CBCA2,Undefined,Observation Well,Global Position Survey,130,110,115,2907097.279,-174234.5623,938.96
24265,36047,931.45,8.92,940.37,13404808CCCA,Wahpeton Buried Valley,Observation Well - Plugged,Survey 0.01 ft,196,150,155,2912712.189,-185291.423,937.98
24266,36047,927.96,11,938.96,13404901ADDB2,Wahpeton Sand Plain,Observation Well,Survey 0.01 ft,160,132,137,2906287.444,-177786.708,937.44
24267,36047,928.45,10.85,939.3,13404807CBB2,Wahpeton Sand Plain,Observation Well,Survey 0.01 ft,117,91,96,2907161.704,-183844.093,936.63
24280,36061,922.09,43.08,965.17,13304734ADCC2,Wahpeton Buried Valley,Observation Well,Survey 0.01 ft,260,248,253,2960575.918,-233717.1761,963.76
24287,36081,904.32,65.02,969.34,13304720DDD3,Wahpeton Buried Valley,Observation Well,Survey 0.01 ft,260,244,249,2950855.148,-226283.8324,967.58
24288,36081,928.61,12.3,940.91,13404901DDD2,Undefined,Observation Well,Survey 0.01 ft,140,111,116,2906594.159,-180474.3542,939.48
24289,36081,962.29,4.36,966.65,13204703ACDB1,Undefined,Observation Well,Survey 0.01 ft,73,58,63,2964586.35,-238335.516,965.21
24291,36081,962.32,4.89,967.21,13204703ACDB3,Wahpeton Sand Plain,Observation Well,Survey 0.01 ft,140,128,133,2964588.431,-238371.211,965.21
29767,38146,944.06,20.77,964.83,13304717CACB1,Undefined,Observation Well - Plugged,Survey 0.01 ft,25,15,25,2947019.84,-219576.7356,963.03
29768,38146,955.9,8.77,964.67,13304717CABC1,Undefined,Observation Well - Plugged,Survey 0.01 ft,25,15,25,2947003.97,-219261.5512,963.13
29769,38146,941.79,19.31,961.1,13304717CAAB1,Undefined,Observation Well,Survey 0.01 ft,30,20,30,2947624.4,-218914.3192,959.33
29770,38146,934.95,25.96,960.91,13304717CAAB2,Wahpeton Shallow Sand,Observation Well,Survey 0.01 ft,50,40,50,2947624.4,-218914.3192,959.53
