Site_Index,Location,group_number,group,index_well_flag,Aquifer,drop_flag,drop_note,Purpose,Count,First Date,Last Date,Top Screen,Bot Screen,lat,lon,x_2265,y_2265,x_2266,y_2266,wl_avg_1965,wl_avg_2023
13687,15405510CDCDC,121,121A,FALSE,Inkster,TRUE,,Observation Well - Plugged,208,4/17/1992,7/20/2021,45,50,48.165788,-97.70226,2651094.556,437644.2561,2651285.02,923674.8889,,
131318,15405510CDCDC2,121,121B,FALSE,Inkster,TRUE,,Observation Well,28,8/17/2021,10/14/2025,34,39,48.165793,-97.702149,2651121.559,437647.0628,2651312.033,923677.677,,1094.786667
127028,15405513CBC,122,122A,FALSE,Inkster,TRUE,,Observation Well,105,11/1/2010,10/14/2025,45,50,48.155016,-97.665451,2660215.784,434045.929,2660406.084,920068.9825,,1061.895
6120,15405514CBB,123,123A,FALSE,Inkster,TRUE,,Observation Well - Plugged,965,9/9/1985,7/20/2021,47,52,48.158372,-97.687088,2654893.375,435075.687,2655083.005,921102.8854,,
131326,15405514CBB2,123,123B,FALSE,Inkster,TRUE,,Observation Well,28,8/17/2021,10/14/2025,47,52,48.158395,-97.687144,2654879.41,435083.5723,2655069.042,921110.7828,,1083.704286
6121,15405514CCC,124,124A,FALSE,Inkster,TRUE,,Observation Well - Plugged,309,9/17/1965,7/14/2005,58,61,48.152219,-97.685848,2655277.834,432843.725,2655465.949,918870.0509,1087.53,
31820,15405514CCC2,124,124B,FALSE,Inkster,TRUE,,Observation Well - PRESENS,51981,8/3/2005,10/27/2025,58,63,48.151528,-97.686901,2655030.179,432582.4368,2655218.038,918608.8729,,1087.534917
6122,15405514CDC1,125,125A,FALSE,Inkster,TRUE,,Observation Well - Plugged,264,9/9/1985,7/20/2021,46,51,48.151473,-97.681428,2656365.982,432611.2344,2656554.216,918636.7096,,
6123,15405514CDC2,125,125B,FALSE,Inkster,TRUE,,Observation Well,214,10/14/1987,10/14/2025,10,15,48.15147,-97.681343,2656386.756,432610.9002,2656574.996,918636.3602,,1086.472857
131314,15405514CDC3,125,125C,FALSE,Inkster,TRUE,,Observation Well,29,8/17/2021,10/14/2025,48,53,48.151465,-97.681199,2656421.95,432610.3641,2656610.199,918635.7983,,1086.472857
12070,15405514DCB,126,126A,FALSE,Inkster,TRUE,,Observation Well,262,9/19/1989,10/14/2025,6,21,48.153798,-97.676488,2657539.936,433502.959,2657729.13,919527.8177,,1081.744286
12068,15405514DCC1,127,127A,FALSE,Inkster,TRUE,,Observation Well,263,9/20/1989,10/14/2025,7,17,48.151456,-97.67627,2657624.436,432651.1601,2657813.032,918675.7315,,1085.958571
12069,15405514DCC2,127,127B,FALSE,Inkster,TRUE,,Observation Well,258,4/10/1990,10/14/2025,38,42,48.15149,-97.67632,2657611.784,432663.1069,2657800.386,918687.6907,,1086.074286
12066,15405514DCD1,128,128A,FALSE,Inkster,TRUE,,Observation Well,262,9/19/1989,10/14/2025,6,21,48.151455,-97.671114,2658882.186,432696.9848,2659071.148,918720.6529,,1075.642857
12067,15405514DCD2,128,128B,FALSE,Inkster,TRUE,,Observation Well,256,4/10/1990,10/14/2025,38,43,48.151469,-97.671093,2658887.121,432702.2766,2659076.088,918725.9425,,1075.711429
15488,15405515ABCC,129,129A,FALSE,Inkster,TRUE,,Observation Well,749,3/20/1993,12/7/2008,0,44.6,48.162594,-97.697359,2652332.171,436523.3919,2652522.161,922552.8303,,
13686,15405515BCBBB,130,130A,FALSE,Inkster,TRUE,,Observation Well - Plugged,204,4/17/1992,7/20/2021,33,38,48.162114,-97.70887,2649531.132,436246.3859,2649720.17,922277.7673,,
131316,15405515BCC,131,131A,FALSE,Inkster,TRUE,,Observation Well,27,8/17/2021,10/14/2025,40,45,48.158733,-97.708747,2649605.831,435014.9473,2649794.004,921045.9448,,1101.913333
