use_year	pod_index	permit_number	pod	aquifer	permit_holder_name	use_type	reported_acft	reported_acres	reported_rate	kwhrs	kwh_demand	begin_meter	end_meter	meter_units	crop_type1	crop_type2	reported_inches	total_use	comments
2012	2571	1822	13304720ADD	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	273.5	0.0	601.0	0	0	0.0	0.0					0.0	
2013	2569	1822	13304720ABD	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	238.03	0.0	468.0	0	0	0.0	0.0					0.0	population: 7766, connections: 2366
2013	2570	1822	13304720BBA	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	0.0	0.0	0.0	0	0	0.0	0.0					0.0	
2013	2571	1822	13304720ADD	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	0.0	0.0	0.0	0	0	0.0	0.0					0.0	
2014	2571	1822	13304720ADD	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	0.0	0.0	0.0	0	0	0.0	0.0					0.0	
2014	2569	1822	13304720ABD	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	237.6	0.0	622.0	0	0	0.0	0.0					0.0	
2014	2570	1822	13304720BBA	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	0.0	0.0	0.0	0	0	0.0	0.0					0.0	
2015	2570	1822	13304720BBA	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	0.0	0.0	0.0	0	0	0.0	0.0					0.0	
2015	2571	1822	13304720ADD	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	0.0	0.0	0.0	0	0	0.0	0.0					0.0	
2015	2569	1822	13304720ABD	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	277.84	0.0	622.0	0	0	0.0	0.0					0.0	
2016	2570	1822	13304720BBA	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	0.0	0.0	0.0	0	0	0.0	0.0					0.0	no use reported
2016	2571	1822	13304720ADD	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	0.0	0.0	0.0	0	0	0.0	0.0					0.0	no use reported
2016	2569	1822	13304720ABD	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	336.3	0.0	640.0	0	0	0.0	0.0					0.0	
2017	2570	1822	13304720BBA	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	0.0	0.0	0.0	0	0	0.0	0.0					0.0	
2017	2569	1822	13304720ABD	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	281.31	0.0	627.0	0	0	0.0	0.0					0.0	
2017	2571	1822	13304720ADD	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	0.0	0.0	0.0	0	0	0.0	0.0					0.0	
2018	2570	1822	13304720BBA	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	0.0	0.0	0.0	0	0	0.0	0.0					0.0	
2018	2571	1822	13304720ADD	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	0.0	0.0	0.0	0	0	0.0	0.0					0.0	
2018	2569	1822	13304720ABD	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	301.27	0.0	627.0	0	0	0.0	0.0					0.0	
2019	2569	1822	13304720ABD	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	277.01	0.0	550.0	0	0	0.0	0.0					0.0	
2019	2571	1822	13304720ADD	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	0.0	0.0	0.0	0	0	0.0	0.0					0.0	
2019	2570	1822	13304720BBA	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	0.0	0.0	0.0	0	0	0.0	0.0					0.0	
2020	2571	1822	13304720ADD	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	0.0	0.0	0.0	0	0	0.0	0.0					0.0	
2020	2570	1822	13304720BBA	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	0.0	0.0	0.0	0	0	0.0	0.0					0.0	
2020	2569	1822	13304720ABD	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	273.15	0.0	550.0	0	0	0.0	0.0					0.0	Well 2
2021	2571	1822	13304720ADD	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	0.0	0.0	0.0	0	0	0.0	0.0					0.0	
2021	2570	1822	13304720BBA	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	0.0	0.0	0.0	0	0	0.0	0.0					0.0	
2021	2569	1822	13304720ABD	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	196.09	0.0	550.0	0	0	0.0	0.0					0.0	
2022	92933	1822	13304802D	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	0.0	0.0	0.0	0	0	0.0	0.0					0.0	
2022	2571	1822	13304720ADD	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	0.0	0.0	0.0	0	0	0.0	0.0					0.0	
2022	2570	1822	13304720BBA	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	0.0	0.0	0.0	0	0	0.0	0.0					0.0	
2022	2569	1822	13304720ABD	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	245.59	0.0	550.0	0	0	0.0	0.0					0.0	
2022	92932	1822	13304802C	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	0.0	0.0	0.0	0	0	0.0	0.0					0.0	
2023	2570	1822	13304720BBA	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	0.0	0.0	0.0	0	0	0.0	0.0					0.0	
2023	2569	1822	13304720ABD	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	52.23	0.0	581.0	0	0	0.0	0.0					0.0	
2023	2571	1822	13304720ADD	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	0.0	0.0	0.0	0	0	0.0	0.0					0.0	
2023	92932	1822	13304802C	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	0.0	0.0	0.0	0	0	0.0	0.0					0.0	
2023	92933	1822	13304802D	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	0.0	0.0	0.0	0	0	0.0	0.0					0.0	
2024	92932	1822	13304802C	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	0.0	0.0	0.0	0	0	0.0	0.0	' / '				0.0	
2024	92933	1822	13304802D	Wahpeton Buried Valley	WAHPETON, CITY OF	Municipal	0.0	0.0	0.0	0	0	0.0	0.0	' / '				0.0	
