Site_Index	Unit	Begin_Interval	End_Interval	Description
3412	TILL	50	68	gray
3412	SAND	68	72	fine, gray
3412	CLAY	72	160	lake bed
3412	SAND	160	200	coarse sand to medium gravel
3412	SAND & GRAVEL	200	250	medium to coarse sand and coarse gravel
3412	GRAVEL	250	280	with clay layers
3412	SHALE	280	302	
3414	SAND	0	10	Fine to medium, silty; oxidized to 7 ft.
3414	GRAVEL & SAND	10	20	Clayey
3414	TILL	20	24	Olive gray
3415	TOPSOIL	0	1	Silty to sandy, brownish black
3415	SAND	1	11	Fine to medium, subrounded to angular, oxidized
3415	CLAY	11	25	Olive gray, pebbly, silty to sandy, cohesive, plastic
3415	CLAY	25	64	Very silty, olive gray to medium dark gray, cohesive slightly, plastic (fluvial sediments)
3415	SAND	64	69	Fine to medium, subrounded, about 50 to 60 % quartz, and lignite, some shale
3415	CLAY	69	80	Olive to medium gray, silty, pebbly, cohesive, plastic, (till) calcareous
3415	CLAY	80	128	Very silty, medium gray to light gray, plastic, cohesive, laminated, very calcareous (fluvial sediment)
3415	SAND	128	160	Fine to medium, subangular to rounded, mostly quartz (50 to 60%) and lignite (20%), some carbonates
3415	GRAVEL	160	202	Fine to coarse; about 50% sand, coarse; subangular to subrounded, about 50% quartz, 30% shale, the rest carbonates and igneous
3415	SAND	202	290	Fine to coarse; about 40%, gravel, fine to medium; subangular to rounded, predominately quartz and shale, some clay layers
3415	SHALE	290	320	Light brownish gray, light buff colored specks, calcareous, light gray streaks also calcareous (Niobrara)
3416	TOPSOIL	0	2	 
3416	SAND	2	26	fine to coarse, 10% gravel
3416	CLAY	26	149	silty
3416	GRAVEL	149	187	fine to coarse, 10% sand
3416	BEDROCK	187	190	
3417	TOPSOIL	0	2	 
3417	SAND	2	25	fine to coarse, 10% gravel
3417	CLAY	25	149	silty fine black
3417	GRAVEL	149	187	fine to coarse, 10% sand
3417	BEDROCK	187	200	
3418	TOPSOIL	0	1	dark brown, sandy, 
3418	SAND	1	10	yellowish brown, fine to medium, oxidized
3418	SAND	10	12	gray, fine, to coarse unoxidized
3418	TILL	12	24	olive gray, pebbly clay loam, sticky, cohesive, plastic, moderately hard
3418	CLAY	24	53	dark gray, slightly silty clay, massive, cohesive plastic, sticky, hard
3418	CLAY	53	69	olive gray, sandy, pebbly loam, cohesive, plastic
3418	SAND	69	85	gray, slightly silty, fine to medium sand, lignite layers
3418	CLAY	85	112	slightly silty, gray, whitish gray bentonitic clay, drills smooth, very hard, looks like bedrock, massive, lake clay?
3418	SAND	112	148	gray, silty, very fine to fine sand, abundant lignite layers
3418	SAND & GRAVEL	148	184	medium sand to granule gravel, largely coarse sand, moderately well sorted, 60% silicates, rounded, 30% shale and lignite, angular, and 10% carbonates, subrounded
3418	SAND & GRAVEL	184	197	very coarse sand to medium gravel, largely fine gravel, moderately well sorted except for large fragments of shale and lignite, 50% silicates, 30% shale and lignite, and 20% carbonates
3418	SHALE	197	220	black to dark gray shale, hard, interbedded with dark gray clay and whitish gray bentonitic clay, Pierre Shale, bedrock
3419	TOPSOIL	0	2	
3419	SAND	2	44	20 to 30 slot
3419	SAND	44	56	fine with gray clay
3419	SAND & GRAVEL	56	83	30 slot
3419	CLAY	83	100	
3420	TOPSOIL	0	2	
3420	SAND	2	24	brown, 20 slot
3420	SAND & GRAVEL	24	47	30 slot
3420	SAND	47	58	20 slot
3420	CLAY	58	75	gray, with cobbles
3421	TOPSOIL	0	1	Silty, sandy; brownish black
